Sample;Assay;N;Outliers;Rejected;Total reps;Ct;Ct SD;Tm;Tm SD;Efficiency;Conc;Flags
22;aacC2;3;0;0;3;24.56;0.12;91.37;0.15;1.8;-1;
23;aacC2;2;0;1;3;23.88;0.8;89.77;0.56;1.52;-1;MultipleMeltPeaks
24;aacC2;2;0;1;3;22.47;0.48;91.02;0.65;1.49;-1;MultipleMeltPeaks
000NTC;aacC2;0;0;1;1;;;;;;-1;NotInformative
GENO;aacC2;1;0;1;2;22.19;;78.36;;1.33;-1;MultipleMeltPeaks
22;aacA/aphD;2;0;1;3;25.07;0.49;78.94;5.8;1.84;-1;MultipleMeltPeaks
23;aacA/aphD;1;0;2;3;25.38;;85.58;;1.83;-1;MultipleMeltPeaks
24;aacA/aphD;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
000NTC;aacA/aphD;1;0;0;1;24.57;;74.3;;1.8;-1;
GENO;aacA/aphD;2;0;0;2;24.21;0.4;75.29;0.55;1.8;-1;
22;aac(6')-II;3;0;0;3;19.61;0.06;91.53;0.1;1.87;-1;
23;aac(6')-II;2;0;1;3;19.41;0.2;91.39;0.02;1.85;-1;MultipleMeltPeaks
24;aac(6')-II;3;0;0;3;19.35;0.21;91.24;0.03;1.85;-1;
000NTC;aac(6')-II;1;0;0;1;29.02;;77.93;;1.76;-1;
GENO;aac(6')-II;1;0;1;2;27.85;;80.82;;1.8;-1;MultipleMeltPeaks
22;aphA3;3;0;0;3;22.6;0.13;91.41;0.67;1.87;-1;
23;aphA3;3;0;0;3;22.98;0.16;91.49;0.33;1.84;-1;
24;aphA3;3;0;0;3;22.91;0.14;91.23;0.13;1.83;-1;
000NTC;aphA3;0;0;1;1;;;;;;-1;MultipleMeltPeaks, NotInformative
GENO;aphA3;1;0;1;2;31.12;;89.72;;1.73;-1;MultipleMeltPeaks
22;sat4;2;0;1;3;27.23;0.87;79.69;8.18;1.81;-1;MultipleMeltPeaks
23;sat4;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
24;sat4;2;0;1;3;27.06;0.17;82.7;2.01;1.65;-1;MultipleMeltPeaks
000NTC;sat4;1;0;0;1;25.88;;72.88;;1.74;-1;
GENO;sat4;2;0;0;2;27.01;0.61;74.14;0.39;1.71;-1;
22;aac(6')-Ib;3;0;0;3;16.48;0.06;90.87;0.09;1.88;-1;
23;aac(6')-Ib;3;0;0;3;16.64;0.09;91.51;0.07;1.87;-1;
24;aac(6')-Ib;2;0;1;3;17.09;0.03;91.21;0.11;1.88;-1;MultipleMeltPeaks
000NTC;aac(6')-Ib;1;0;0;1;27.04;;80.7;;1.54;-1;
GENO;aac(6')-Ib;2;0;0;2;23.25;0.08;79.97;0.54;1.66;-1;
22;aadA2a;3;0;0;3;18.62;0.05;91.98;0.22;1.94;-1;
23;aadA2a;3;0;0;3;18.49;0.18;91.6;0.08;1.91;-1;
24;aadA2a;3;0;0;3;18.71;0.13;91.89;0.05;1.9;-1;
000NTC;aadA2a;1;0;0;1;22.02;;77.16;;1.74;-1;
GENO;aadA2a;2;0;0;2;20.92;0.57;77.51;0.31;1.85;-1;
22;aadA5;2;0;1;3;20.12;0.4;91.49;0.03;1.9;-1;MultipleMeltPeaks
23;aadA5;2;0;1;3;19.7;0.17;90.67;1;1.88;-1;MultipleMeltPeaks
24;aadA5;3;0;0;3;20.14;0.14;89.89;0.03;1.9;-1;
000NTC;aadA5;1;0;0;1;25.28;;77.04;;1.86;-1;
GENO;aadA5;2;0;0;2;24.95;0.07;77.04;0.21;1.95;-1;
22;aadA_99;3;0;0;3;20.22;0.22;91.22;0.33;1.99;-1;
23;aadA_99;3;0;0;3;20.47;0.14;91.16;0.15;1.99;-1;
24;aadA_99;3;0;0;3;20.09;0.09;91.25;0.2;1.98;-1;
000NTC;aadA_99;1;0;0;1;23.73;;76.49;;1.96;-1;
GENO;aadA_99;2;0;0;2;23.36;0.3;76.77;0.03;2.01;-1;
22;aph(2')-Id;2;0;1;3;27.84;0.07;79.82;8.05;2.08;-1;MultipleMeltPeaks
23;aph(2')-Id;2;1;0;3;27.96;0.03;74.8;0.08;1.97;-1;ContainsOutlierReplicateCt
24;aph(2')-Id;3;0;0;3;29.35;2.1;74.75;0.48;2.05;-1;
000NTC;aph(2')-Id;1;0;0;1;27.1;;74.59;;1.91;-1;
GENO;aph(2')-Id;2;0;0;2;28.82;0.19;75.34;0.15;1.98;-1;
22;aadD;3;0;0;3;20.48;0.14;91.51;0.16;1.85;-1;
23;aadD;3;0;0;3;20.97;0.12;91.49;0.05;1.87;-1;
24;aadD;3;0;0;3;20.69;0.24;91.24;0.23;1.83;-1;
000NTC;aadD;1;0;0;1;25.84;;75.85;;1.97;-1;
GENO;aadD;2;0;0;2;25.62;0.31;77.16;1.57;2;-1;
22;aadA2b;3;0;0;3;21.47;0.21;91.1;0.43;1.88;-1;
23;aadA2b;3;0;0;3;21.85;0.09;90.81;0.03;1.87;-1;
24;aadA2b;3;0;0;3;22.3;0.05;90.67;0.14;1.9;-1;
000NTC;aadA2b;1;0;0;1;26.62;;76.17;;1.99;-1;
GENO;aadA2b;2;0;0;2;25.96;0.07;76.27;0.26;1.97;-1;
22;aadA9;3;0;0;3;17.71;0.32;91.65;0.08;1.87;-1;
23;aadA9;2;0;1;3;17.48;0.11;92.01;0.24;1.85;-1;MultipleMeltPeaks
24;aadA9;1;0;2;3;17.46;;91.29;;1.86;-1;MultipleMeltPeaks
000NTC;aadA9;1;0;0;1;30.58;;79;;1.87;-1;
GENO;aadA9;1;0;1;2;30.35;;79.73;;1.88;-1;MultipleMeltPeaks
22;aphA1;3;0;0;3;26.62;0.1;90.81;1.37;1.84;-1;
23;aphA1;3;0;0;3;26.67;0.89;88.24;1.94;1.81;-1;
24;aphA1;3;0;0;3;27.37;0.88;90.4;0.59;1.88;-1;
000NTC;aphA1;1;0;0;1;41.94;;71.96;;1.82;-1;
GENO;aphA1;1;0;1;2;28.57;;72.85;;1.56;-1;
22;aadE;2;0;1;3;25.01;0.4;75.11;0.16;1.54;-1;MultipleMeltPeaks
23;aadE;1;0;2;3;25.03;;74.88;;1.5;-1;MultipleMeltPeaks
24;aadE;2;0;1;3;24.18;0.44;74.63;0.22;1.45;-1;MultipleMeltPeaks
000NTC;aadE;1;0;0;1;25.68;;74.28;;1.66;-1;
GENO;aadE;2;0;0;2;24.19;0.27;74.42;0.2;1.59;-1;
22;str;2;0;1;3;28.22;1.77;88.1;1.31;2.08;-1;MultipleMeltPeaks
23;str;1;0;2;3;25.81;;91.15;;2.07;-1;MultipleMeltPeaks
24;str;2;0;1;3;26.11;0.12;92.51;0.46;2.12;-1;MultipleMeltPeaks
000NTC;str;0;0;1;1;;;;;;-1;MultipleMeltPeaks, NotInformative
GENO;str;1;0;1;2;28.32;;74.73;;2;-1;MultipleMeltPeaks
22;strA;3;0;0;3;21.33;0.19;90.66;0.09;1.9;-1;
23;strA;2;0;1;3;21.66;0.09;90.86;0.25;1.93;-1;MultipleMeltPeaks
24;strA;3;0;0;3;21.73;0.22;90.95;0.12;1.95;-1;
000NTC;strA;0;0;1;1;;;;;;-1;NotInformative
GENO;strA;1;0;1;2;38.07;;86.65;;1.9;-1;
22;aac3ia;3;0;0;3;14.58;0.03;91.56;0.03;1.82;-1;
23;aac3ia;0;0;3;3;;;;;;-1;NotInformative
24;aac3ia;0;0;3;3;;;;;;-1;NotInformative
000NTC;aac3ia;1;0;0;1;28.43;;74.91;;1.8;-1;
GENO;aac3ia;1;0;1;2;29.67;;77.56;;1.89;-1;MultipleMeltPeaks
22;aph4ib;3;0;0;3;13.63;0.25;91.81;0.05;1.86;-1;
23;aph4ib;2;0;1;3;13.64;0.06;91.82;0.03;1.85;-1;MultipleMeltPeaks
24;aph4ib;3;0;0;3;13.91;0.08;91.83;0.05;1.85;-1;
000NTC;aph4ib;1;0;0;1;21.21;;78.53;;1.84;-1;
GENO;aph4ib;2;0;0;2;20.98;0.05;85.47;9.55;1.9;-1;
22;aph3via;2;0;1;3;21.08;0.05;90.47;0.6;2.1;-1;MultipleMeltPeaks
23;aph3via;1;0;2;3;21.03;;89.66;;2.15;-1;MultipleMeltPeaks
24;aph3via;2;1;0;3;21.37;0.01;90.29;0.45;1.89;-1;ContainsOutlierReplicateCt
000NTC;aph3via;1;0;0;1;23.77;;74.62;;1.94;-1;
GENO;aph3via;2;0;0;2;23.6;0.19;76.56;2.2;1.92;-1;
22;aph6ic;3;0;0;3;11.76;0.08;91.51;4.06E-03;1.87;-1;
23;aph6ic;3;0;0;3;12.1;0.1;91.48;0.05;1.84;-1;
24;aph6ic;3;0;0;3;12.23;0.12;91.92;0.03;1.81;-1;
000NTC;aph6ic;1;0;0;1;29.62;;92.33;;1.87;-1;
GENO;aph6ic;2;0;0;2;28.22;6.7;88.07;5.9;1.91;-1;
22;ArmA;3;0;0;3;20.16;0.03;91.11;0.32;1.9;-1;
23;ArmA;3;0;0;3;20.08;0.21;90.83;0.06;1.87;-1;
24;ArmA;2;0;1;3;20.2;0.05;90.83;0.16;1.88;-1;MultipleMeltPeaks
000NTC;ArmA;0;0;1;1;;;;;;-1;MultipleMeltPeaks, NotInformative
GENO;ArmA;1;0;1;2;28.36;;75.92;;2.02;-1;MultipleMeltPeaks
22;spcN;3;0;0;3;13.65;0.19;91.91;0.07;1.83;-1;
23;spcN;1;0;2;3;13.87;;92.06;;1.85;-1;MultipleMeltPeaks
24;spcN;2;0;1;3;14.1;0.03;92.21;0.1;1.86;-1;MultipleMeltPeaks
000NTC;spcN;1;0;0;1;29.11;;86.45;;1.92;-1;
GENO;spcN;2;0;0;2;26.37;2.3;86.2;9.27;1.91;-1;
22;spec_aph;3;0;0;3;22.53;0.31;92.02;0.02;1.87;-1;
23;spec_aph;3;0;0;3;20.96;0.16;92.05;0.06;1.83;-1;
24;spec_aph;3;0;0;3;20.54;0.24;92.03;0.03;1.82;-1;
000NTC;spec_aph;1;0;0;1;30.81;;77.36;;1.61;-1;
GENO;spec_aph;2;0;0;2;27.83;0.05;77.78;0.39;1.38;-1;
22;aac(3)-ib;3;0;0;3;15.12;0.05;91.49;0.1;1.97;-1;
23;aac(3)-ib;3;0;0;3;15.39;0.05;91.63;0.05;1.96;-1;
24;aac(3)-ib;3;0;0;3;15.57;0.04;91.65;0.03;1.97;-1;
000NTC;aac(3)-ib;1;0;0;1;28.99;;78.67;;1.78;-1;
GENO;aac(3)-ib;2;0;0;2;27.5;1.82;85.11;9.36;1.88;-1;
